"key","en","de","fr","ar","es","it"
"Continue only if you want to pay now and lock this offer for the selected driver.","Continue only if you want to pay now and lock this offer for the selected driver.","Fahren Sie nur fort, wenn Sie jetzt bezahlen und dieses Angebot für den ausgewählten Fahrer sichern möchten.","Continuez uniquement si vous souhaitez payer maintenant et bloquer cette offre pour le chauffeur sélectionné.","تابع فقط إذا كنت ترغب في الدفع الآن وتثبيت هذا العرض للسائق المحدد.","Continúa solo si quieres pagar ahora y asegurar esta oferta para el conductor seleccionado.","Continua solo se desideri pagare ora e confermare definitivamente questa offerta con l'autista selezionato."
"Continue to Pickup Location","Continue to Pickup Location","Weiter zum Abholort","Continuer vers le lieu de retrait","انتقل إلى موقع الاستلام","Continuar al punto de recogida","Continua al luogo di ritiro"
"Continue to Vehicle Condition","Continue to Vehicle Condition","Weiter zum Fahrzeugzustand","Poursuivre avec l'état du véhicule","انتقل إلى حالة المركبة","Continuar con la condición del vehículo","Continua alle condizioni del veicolo"
"Continue to pickup location","Continue to pickup location","Weiter zum Abholort","Continuez jusqu'au lieu de retrait","تابع إلى موقع الاستلام","Continuar hasta el lugar de recogida","Continua al luogo di ritiro"
"Continue with your phone number","Continue with your phone number","Mit Ihrer Telefonnummer fortfahren","Continuer avec votre numéro de téléphone","تابع باستخدام رقم هاتفك","Continuar con tu número de teléfono","Continua con il tuo numero di telefono"
"Convertible","Convertible","Cabriolet","Convertible","سيارة مكشوفة","Convertible","Cabriolet"
"Could not send reset link. Please try again.","Could not send reset link. Please try again.","Der Link zum Zurücksetzen konnte nicht gesendet werden. Bitte versuchen Sie es erneut.","Impossible d'envoyer le lien de réinitialisation. Veuillez réessayer.","تعذر إرسال رابط إعادة التعيين. حاول مرة أخرى.","No se pudo enviar el enlace de restablecimiento. Inténtalo de nuevo.","Impossibile inviare il link di reimpostazione. Riprova."
"Couldn't load services","Couldn't load services","Services konnten nicht geladen werden","Impossible de charger les services","تعذر تحميل الخدمات","No se pudieron cargar los servicios","Impossibile caricare i servizi"
"Country","Country","Land","Pays","الدولة","País","Paese"
"Coupe","Coupe","Coupe","Coupe","كوبيه","Coupé","Coupé"
"Create Account","Create Account","Konto erstellen","Créer un compte","إنشاء حساب","Crear cuenta","Crea account"
"Create a new request to start transporting.","Create a new request to start transporting.","Erstellen Sie eine neue Anfrage, um mit dem Transport zu beginnen.","Créez une nouvelle demande pour commencer le transport.","أنشئ طلبًا جديدًا لبدء النقل.","Crea una nueva solicitud para comenzar el transporte.","Crea una nuova richiesta per iniziare il trasporto."
"Create an account","Create an account","Konto erstellen","Créer un compte","أنشئ حساباً","Crear una cuenta","Crea un account"
"Credit Card","Credit Card","Kreditkarte","Carte de crédit","بطاقة إئتمان","Tarjeta de crédito","Carta di credito"
"Credit card","Credit card","Kreditkarte","Carte de crédit","بطاقة إئتمان","Tarjeta de crédito","Carta di credito"
"Crossover","Crossover","Crossover","Crossover","كروس أوفر","Crossover","Crossover"
"Cruiser","Cruiser","Kreuzer","Croiseur","كروزر","Crucero","Cruiser"
"Current","Current","Aktuell","Actuel","حاضِر","Actual","Attuale"
"Current distance","Current distance","Aktuelle Entfernung","Distance actuelle","المسافة الحالية","Distancia actual","Distanza attuale"
"Current language","Current language","Aktuelle Sprache","Langue actuelle","اللغة الحالية","Idioma actual","Lingua attuale"
"Current location","Current location","Aktueller Standort","Localisation actuelle","الموقع الحالي","Ubicación actual","Posizione attuale"
"Customer","Customer","Kunde","Client","العميل","Cliente","Cliente"
"Customer Tracking","Customer Tracking","Kunden-Tracking","Suivi client","تتبع العميل","Seguimiento del cliente","Tracciamento cliente"
"Damaged","Damaged","Beschädigt","Endommagé","تالف","Dañado","Danneggiato"
"Date & Item Details","Date & Item Details","Datum und Artikeldetails","Date et détails de l'article","التاريخ وتفاصيل العنصر","Fecha y detalles del artículo","Data e dettagli dell'articolo"
"Date & Time","Date & Time","Datum und Uhrzeit","Date et heure","التاريخ والوقت","Fecha y hora","Data e ora"
"Date pending","Date pending","Datum steht noch aus","Date en attente","التاريخ قيد التحديد","Fecha pendiente","Data da definire"
"Date, Item Details & Photos","Date, Item Details & Photos","Datum, Artikeldetails & Fotos","Date, détails de l'article et photos","التاريخ، تفاصيل المنتج والصور","Fecha, detalles del artículo y fotos","Data, dettagli dell'articolo e foto"
"Debit Card","Debit Card","Debitkarte","Carte de débit","بطاقة الخصم","Tarjeta de débito","Carta di debito"
"Debit card","Debit card","Debitkarte","Carte de débit","بطاقة الخصم","Tarjeta de débito","Carta di debito"
"Decode VIN","Decode VIN","Dekodieren Sie VIN","Décodez VIN","فك تشفير VIN","Decodificar VIN","Decodifica VIN"
"Decoded VIN details","Decoded VIN details","Details zur Dekodierung von VIN","Détails décodés de VIN","تفاصيل فك تشفير VIN","Detalles decodificados de VIN","Dettagli VIN decodificati"
"Dedicated carrier:","Dedicated carrier:","Dedizierter Carrier:","Transporteur dédié :","شركة نقل مخصصة:","Operador dedicado:","Trasportatore dedicato:"
"Default payment method failed: {{value0}}","Default payment method failed: {{value0}}","Standardzahlungsmethode fehlgeschlagen: {{value0}}","Échec du mode de paiement par défaut : {{value0}}","فشلت طريقة الدفع الافتراضية: {{value0}}","El método de pago predeterminado falló: {{value0}}","Errore nel metodo di pagamento predefinito: {{value0}}"
"Delete Request","Delete Request","Anfrage stornieren","Demande de suppression","طلب الحذف","Solicitud de eliminación","Elimina richiesta"
"Delete account","Delete account","Konto löschen","Supprimer le compte","حذف الحساب","Eliminar cuenta","Elimina account"
"Delete account?","Delete account?","Konto löschen?","Supprimer le compte ?","حذف الحساب؟","¿Eliminar cuenta?","Eliminare l'account?"
"Delete request?","Delete request?","Anfrage stornieren?","Demande de suppression ?","هل تريد حذف الطلب؟","¿Solicitud de eliminación?","Eliminare la richiesta?"
"Deleting account...","Deleting account...","Konto wird gelöscht...","Suppression du compte...","جارٍ حذف الحساب...","Eliminando cuenta...","Eliminazione account..."
"Delivered","Delivered","Geliefert","Livré","تم التسليم","Entregado","Consegnato"
"Delivered at","Delivered at","Zugestellt am","Livré à","تم التسليم في","Entregado en","Consegnato alle"
"Delivery Proof Photos","Delivery Proof Photos","Liefernachweisfotos","Photos de preuve de livraison","صور إثبات التسليم","Fotos de comprobante de entrega","Foto della prova di consegna"
"Delivery Tracking","Delivery Tracking","Lieferverfolgung","Suivi de livraison","تتبع التسليم","Seguimiento de entrega","Tracciamento della consegna"
"Delivery approaching","Delivery approaching","Lieferung rückt näher","Livraison imminente","موعد التسليم يقترب","Próxima entrega","Consegna in arrivo"
"Delivery completed","Delivery completed","Lieferung abgeschlossen","Livraison effectuée","تم إتمام عملية التسليم","Entrega completada","Consegna completata"
"Delivery in progress","Delivery in progress","Lieferung läuft","Livraison en cours","عملية التسليم جارية","Entrega en curso","Consegna in corso"
"Delivery map","Delivery map","Lieferkarte","Carte de livraison","خريطة التوصيل","Mapa de entrega","Mappa della consegna"
"Delivery notes","Delivery notes","Lieferscheine","Notes de livraison","ملاحظات التسليم","Albaranes","Note sulla consegna"
"Delivery proof","Delivery proof","Liefernachweis","Preuve de livraison","إثبات التسليم","Comprobante de entrega","Prova di consegna"
"Delivery proof photos will appear after final delivery.","Delivery proof photos will appear after final delivery.","Die Liefernachweisfotos werden nach der endgültigen Zustellung angezeigt.","Les photos de preuve de livraison apparaîtront après la livraison finale.","ستظهر صور إثبات التسليم بعد التسليم النهائي.","Las fotos que acrediten la entrega aparecerán después de la entrega final.","Le foto della prova di consegna appariranno dopo la consegna finale."
"Delivery proof photos will appear here when available.","Delivery proof photos will appear here when available.","Liefernachweisfotos werden hier angezeigt, sobald sie verfügbar sind.","Les photos de preuve de livraison apparaîtront ici lorsqu'elles seront disponibles.","ستظهر صور إثبات التسليم هنا عند توفرها.","Las fotos que comprueben la entrega aparecerán aquí cuando estén disponibles.","Le foto della prova di consegna appariranno qui quando disponibili."
"Delivery tracking map is available on iOS and Android only.","Delivery tracking map is available on iOS and Android only.","Die Sendungsverfolgungskarte ist nur für iOS und Android verfügbar.","La carte de suivi de livraison est disponible uniquement pour les numéros iOS et Android.","تتوفر خريطة تتبع الشحنات على iOS و Android فقط.","El mapa de seguimiento de entregas solo está disponible para iOS y Android.","La mappa di tracciamento della consegna è disponibile solo su iOS e Android."
"Describe the shipment","Describe the shipment","Beschreiben Sie die Sendung","Décrivez l'expédition","صف الشحنة","Describa el envío","Descrivi la spedizione"
"Description:","Description:","Beschreibung:","Description:","وصف:","Descripción:","Descrizione:"
"Destination","Destination","Ziel","Destination","وجهة","Destino","Destinazione"
"Details were saved, but photo upload failed. Please retry.","Details were saved, but photo upload failed. Please retry.","Die Daten wurden gespeichert, aber der Foto-Upload ist fehlgeschlagen. Bitte versuchen Sie es erneut.","Les informations ont été enregistrées, mais le chargement de la photo a échoué. Veuillez réessayer.","تم حفظ البيانات، لكن فشل تحميل الصورة. يرجى المحاولة مرة أخرى.","Se guardaron los datos, pero falló la carga de la foto. Inténtalo de nuevo.","I dettagli sono stati salvati, ma il caricamento delle foto non è riuscito. Riprova."
"Development build required. Native wallets do not work in Expo Go.","Development build required. Native wallets do not work in Expo Go.","Entwicklungsversion erforderlich. Native Wallets funktionieren nicht in Expo Go.","Version de développement requise. Les portefeuilles natifs ne fonctionnent pas dans Expo Go.","يلزم إصدار نسخة تجريبية. المحافظ الأصلية لا تعمل في Expo Go.","Se requiere una versión de desarrollo. Las carteras nativas no funcionan en Expo Go.","È necessaria una build di sviluppo. I portafogli nativi non funzionano in Expo Go."
"Didn't receive the code?","Didn't receive the code?","Keinen Code erhalten?","Vous n’avez pas reçu le code ?","لم يصلك الرمز؟","¿No recibiste el código?","Non hai ricevuto il codice?"
"Dimensions","Dimensions","Abmessungen","Dimensions du colis","الأبعاد","Dimensiones","Dimensioni"
"Dimensions: {{length}} x {{width}} x {{height}} cm","Dimensions: {{length}} x {{width}} x {{height}} cm","Abmessungen: {{length}} x {{width}} x {{height}} cm","Dimensions : {{length}} x {{width}} x {{height}} cm","الأبعاد: {{length}} × {{width}} × {{height}} سم","Dimensiones: {{length}} x {{width}} x {{height}} cm","Dimensioni: {{length}} × {{width}} × {{height}} cm"
